state,state fips,county,county code,commodity,data item,domain category,2017,2012,2007,2002,1997
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,"2,042,220","2,109,303","2,204,792","2,128,982","2,215,876"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),"273,325","223,634","232,849","179,346","205,390"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),"583,001","589,549","620,283","563,772","530,902"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),"564,763","634,047","660,530","658,705","694,489"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),"315,017","346,038","368,368","388,617","428,215"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),"133,321","142,555","149,713","161,552","179,447"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 TO 1,999 ACRES)","87,666","91,273","92,656","99,020","103,007"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (2,000 OR MORE ACRES)","85,127","82,207","80,393","77,970","74,426"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"900,217,576","914,527,657","922,095,840","938,279,056","954,752,502"
US TOTAL,99,,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,441,434,418,441,
US TOTAL,99,,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,311,808","1,075,491","791,138","537,833","416,007"
US TOTAL,99,,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"2,976","2,481","1,892","1,213",967
US TOTAL,99,,,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"272,297,744,000","243,966,688,000","194,783,471,000","136,624,880,000","119,302,923,000"
US TOTAL,99,,,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"133,363","115,706","88,357","66,570","53,861"
US TOTAL,99,,,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,"1,475,627","1,551,654","1,685,339","1,751,450","1,857,239"
US TOTAL,99,,,AG LAND,"AG LAND, CROPLAND - ACRES",,"396,433,817","389,690,414","406,424,909","434,164,946","445,324,765"
US TOTAL,99,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,"1,245,548","1,288,875","1,328,004","1,362,608","1,545,681"
US TOTAL,99,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"320,041,858","314,964,600","309,607,601","302,697,252","318,937,401"
US TOTAL,99,,,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,"294,235","296,303","301,028","299,583","308,818"
US TOTAL,99,,,AG LAND,"AG LAND, IRRIGATED - ACRES",,"58,013,907","55,822,231","56,599,305","55,311,236","56,289,172"
US TOTAL,99,,,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"388,522,695,000","394,644,481,000","297,220,491,000","200,646,355,000","201,379,812,000"
US TOTAL,99,,,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"190,245","187,097","134,807","94,245","90,880"
US TOTAL,99,,,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"193,546,699,000","212,397,074,000","143,657,928,000","95,151,954,000","100,668,794,000"
US TOTAL,99,,,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"194,975,996,000","182,247,407,000","153,562,563,000","105,494,401,000","100,711,018,000"
US TOTAL,99,,,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,,,,,
US TOTAL,99,,,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)","791,701","788,310","900,327","826,558","693,026"
US TOTAL,99,,,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)","185,341","191,422","200,302","213,326","265,667"
US TOTAL,99,,,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)","208,074","214,245","218,531","223,168","267,575"
US TOTAL,99,,,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)","228,218","244,954","248,285","256,157","293,639"
US TOTAL,99,,,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)","144,113","152,873","154,732","157,906","179,629"
US TOTAL,99,,,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)","119,434","129,366","125,456","140,479","163,510"
US TOTAL,99,,,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 TO 499,999 $)","218,771","232,955","240,873","240,746","282,422"
US TOTAL,99,,,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (500,000 OR MORE $)","146,568","155,178","116,286","70,642","70,408"
US TOTAL,99,,,FARM OPERATIONS,"FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS",,"1,751,126","1,828,946","1,906,335","1,909,598","1,922,590"
US TOTAL,99,,,FARM OPERATIONS,"FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, PARTNERSHIP - NUMBER OF OPERATIONS",,"130,173","137,987","174,247","129,593","185,607"
US TOTAL,99,,,FARM OPERATIONS,"FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, CORPORATION - NUMBER OF OPERATIONS",,"116,840","106,716","96,074","73,752","90,432"
US TOTAL,99,,,FARM OPERATIONS,"FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, INSTITUTIONAL & RESEARCH & RESERVATION & OTHER - NUMBER OF OPERATIONS",,"44,081","35,654","28,136","16,039","17,247"
US TOTAL,99,,,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"326,390,640,000","328,939,354,000","241,113,666,000","173,199,216,000","157,752,357,000"
US TOTAL,99,,,ANIMAL TOTALS,"ANIMAL TOTALS - EXPENSE, MEASURED IN $",,"44,934,482,000","41,586,018,000","38,003,682,000","27,420,965,000","22,213,229,000"
US TOTAL,99,,,FEED,"FEED - EXPENSE, MEASURED IN $",,"62,625,223,000","75,706,467,000","49,095,106,000","31,694,850,000","34,749,048,000"
US TOTAL,99,,,FERTILIZER TOTALS,"FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $",,"23,543,177,000","28,532,713,000","18,107,194,000","9,751,460,000","9,999,752,000"
US TOTAL,99,,,FUELS,"FUELS, INCL LUBRICANTS - EXPENSE, MEASURED IN $",,"13,474,121,000","16,573,188,000","12,912,179,000","6,675,419,000","6,715,936,000"
US TOTAL,99,,,LABOR,"LABOR, HIRED - EXPENSE, MEASURED IN $",,"31,635,981,000","26,986,669,000","21,877,661,000","18,568,446,000","15,457,896,000"
US TOTAL,99,,,INTEREST,"INTEREST - EXPENSE, MEASURED IN $",,"12,396,094,000","12,123,573,000","10,880,731,000","9,571,577,000","9,392,431,000"
US TOTAL,99,,,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",,"17,585,163,000","16,459,840,000","10,074,914,000","7,608,921,000","7,934,936,000"
US TOTAL,99,,,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,"882,692","913,246","963,669","1,018,359","1,188,659"
US TOTAL,99,,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"93,648,041","89,994,614","96,347,858","95,497,994","99,907,017"
US TOTAL,99,,,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,"729,046","727,906","764,984","796,436","899,756"
US TOTAL,99,,,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"31,722,039","28,956,553","32,834,801","33,398,271","34,193,965"
US TOTAL,99,,,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,"54,599","64,098","69,890","91,989","125,041"
US TOTAL,99,,,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,"9,539,631","9,252,272","9,266,574","9,103,959","9,139,812"
US TOTAL,99,,,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,"711,827","740,978","798,290","851,971","1,121,003"
US TOTAL,99,,,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"69,812,061","69,759,776","74,071,936","73,509,165","75,005,184"
US TOTAL,99,,,HOGS,HOGS - OPERATIONS WITH INVENTORY,,"66,439","63,246","75,442","78,895","124,889"
US TOTAL,99,,,HOGS,HOGS - INVENTORY,,"72,381,007","66,026,785","67,786,318","60,405,103","61,188,149"
US TOTAL,99,,,HOGS,HOGS - OPERATIONS WITH SALES,,"64,871","55,882","74,789","82,028","112,377"
US TOTAL,99,,,HOGS,"HOGS - SALES, MEASURED IN HEAD",,"235,282,860","199,115,305","206,807,181","184,997,686","142,956,569"
